Name,StatusClass,DataValue,DataTimeStamp
"AIRLOCK000049",24,"756.361489654525",1295.19291666667
"AIRLOCK000049",24,"756.996001582328",1295.19347222222
"AIRLOCK000049",24,"756.361489654525",1295.19375
"AIRLOCK000049",24,"756.996001582328",1295.19402777778
"AIRLOCK000049",24,"756.361489654525",1295.19430555556
"AIRLOCK000049",24,"756.996001582328",1295.19458333333
"AIRLOCK000049",24,"756.996001582328",1295.19458333333
"AIRLOCK000049",24,"756.996001582328",1295.19458333333
"AIRLOCK000049",24,"756.996001582328",1295.19458333333
"AIRLOCK000049",24,"756.361489654525",1295.19569444444
"AIRLOCK000049",24,"756.996001582328",1295.19597222222
"AIRLOCK000049",24,"756.361489654525",1295.19625
"AIRLOCK000049",24,"756.361489654525",1295.19625
"AIRLOCK000049",24,"756.996001582328",1295.19680555556
"AIRLOCK000049",24,"756.361489654525",1295.19708333333
"AIRLOCK000049",24,"756.996001582328",1295.19736111111
"AIRLOCK000049",24,"756.361489654525",1295.20013888889
"AIRLOCK000049",24,"756.996001582328",1295.19736111111
"AIRLOCK000049",24,"756.996001582328",1295.19736111111
"AIRLOCK000049",24,"756.996001582328",1295.19736111111
"AIRLOCK000049",24,"756.996001582328",1295.19736111111
"AIRLOCK000049",24,"756.996001582328",1295.19736111111
"AIRLOCK000049",24,"756.996001582328",1295.19736111111
"AIRLOCK000049",24,"756.996001582328",1295.19736111111
"AIRLOCK000049",24,"756.996001582328",1295.19736111111
"AIRLOCK000049",24,"756.996001582328",1295.19736111111
"AIRLOCK000049",24,"756.996001582328",1295.23986111111
"AIRLOCK000049",24,"756.996001582328",1295.23986111111
"AIRLOCK000049",24,"756.361489654525",1295.24041666667
"AIRLOCK000049",24,"756.996001582328",1295.24291666667
"AIRLOCK000049",24,"756.996001582328",1295.24291666667
"AIRLOCK000049",24,"756.361489654525",1295.24375
"AIRLOCK000049",24,"756.361489654525",1295.24041666667
"AIRLOCK000049",24,"756.996001582328",1295.24097222222
"AIRLOCK000049",24,"756.996001582328",1295.24097222222
"AIRLOCK000049",24,"756.361489654525",1295.24375
"AIRLOCK000049",24,"756.361489654525",1295.24375
"AIRLOCK000049",24,"756.996001582328",1295.24458333333
"AIRLOCK000049",24,"756.361489654525",1295.24152777778
"AIRLOCK000049",24,"756.996001582328",1295.24180555556
"AIRLOCK000049",24,"756.361489654525",1295.24208333333
"AIRLOCK000049",24,"756.361489654525",1295.24486111111
"AIRLOCK000049",24,"756.996001582328",1295.24513888889
"AIRLOCK000049",24,"756.996001582328",1295.24513888889
"AIRLOCK000049",24,"756.361489654525",1295.24208333333
"AIRLOCK000049",24,"756.361489654525",1295.24208333333
"AIRLOCK000049",24,"756.996001582328",1295.24291666667
"AIRLOCK000049",24,"756.996001582328",1295.24513888889
"AIRLOCK000049",24,"756.996001582328",1295.24513888889
"AIRLOCK000049",24,"756.361489654525",1295.24625
"AIRLOCK000049",24,"756.361489654525",1295.24625
"AIRLOCK000049",24,"756.361489654525",1295.24625
"AIRLOCK000049",24,"756.361489654525",1295.24625
"AIRLOCK000049",24,"756.361489654525",1295.24625
"AIRLOCK000049",24,"756.996001582328",1295.24763888889
"AIRLOCK000049",24,"756.996001582328",1295.24763888889
"AIRLOCK000049",24,"756.996001582328",1295.24763888889
"AIRLOCK000049",24,"756.361489654525",1295.24847222222
"AIRLOCK000049",24,"756.996001582328",1295.24875
"AIRLOCK000049",24,"756.996001582328",1295.24875
"AIRLOCK000049",24,"756.996001582328",1295.24875
"AIRLOCK000049",24,"756.996001582328",1295.24875
